driver,maneuver,window_start,window_end,SpeedLevel,SpeedTrend,BrakeUse,GasUse,SteerIntensity,SteerActivity,GearChange,RPMTrend,RPMLevel,Maneuver marker flag
Driver1,Overtaking,34.419,35.396,0.6522984367029737,-0.029334843279059702,0.0,0.11303355273500242,0.16666666666666669,0.00958486242083585,0,0.16001215478933792,0.5122078474044425,0.25
Driver1,Overtaking,34.931,35.908,0.6418744561466678,-0.008913184583965547,0.0,0.30059376125934806,0.0,0.0,0,0.5073680552482005,0.715343554341084,0.75
Driver1,Overtaking,35.448,36.419,0.641135565757494,0.00632435332139596,0.0,0.4449165111717144,0.0,0.0,0,0.2240254890881706,0.8917148796245146,1.0
Driver1,Overtaking,35.959,36.93,0.651703573678999,0.0329284708482525,0.0,0.5946654246598885,0.33333333333333337,0.027941654666233107,0,-0.28936762537149,0.7950355011759305,1.0
Driver1,Overtaking,36.47,37.438,0.6721719626729078,0.0448154982935556,0.0,0.7210541630172953,0.9158576051779936,0.045841656214676146,0,0.07301141044999437,0.7558289122297815,1.0
Driver1,Overtaking,36.98,37.95,0.699223602484472,0.056937094719967,0.0,0.7899031293298143,0.9158576051779936,0.03467738189250708,0,0.09325790182202234,0.7992157419427712,1.0
Driver1,Overtaking,37.488,38.464,0.7307048339184445,0.06269553541439288,0.0,0.8228352515112548,0.9158576051779936,0.04425450209814032,0,0.10073308599555905,0.8501291172660641,1.0
Driver1,Overtaking,38.002,38.976,0.7646480331262939,0.06617864664478362,0.0,0.8486941841470332,0.5825242718446603,0.05820597389325035,0,0.10554572598668055,0.9046082047778629,1.0
Driver1,Overtaking,38.516,39.487,0.7998214660785549,0.06710531181951981,0.0,0.8655356788904739,0.5825242718446603,0.01035908394109723,0,0.10652351979240157,0.9605748444335224,1.0
Driver1,Overtaking,39.028,40.001,0.8249782458667146,0.02043392671241917,0.0,0.4164572733069114,0.5825242718446603,0.0,1,-0.032153797504074946,0.9875340125541038,1.0
Driver1,Overtaking,39.539,40.507,0.8241373360938578,-0.029871597111830843,0.0,0.41891892683584125,0.5825242718446603,0.0,1,-0.6454552991912651,0.7757838961458333,1.0
Driver1,Overtaking,40.051,41.019,0.8146210279953191,0.008758607455572573,0.0,0.8350845433623428,0.6666666666666667,0.08140939285548382,1,-0.170522314527027,0.6813663336924344,1.0
Driver1,Overtaking,40.559,41.53,0.8313687100549104,0.04940083430211833,0.0,0.9218583428778431,0.6666666666666667,0.029536550997971544,0,-0.02740376453511047,0.6316315793114319,1.0
Driver1,Overtaking,41.07,42.04,0.8579147538032226,0.05181081603313965,0.0,0.9344961524153224,0.6666666666666667,0.0,0,0.060520091916961054,0.6419063425641394,1.0
Driver1,Overtaking,41.581,42.552,0.8859618327482223,0.05534031404473303,0.0,0.9807477232316782,0.6666666666666667,0.0,0,0.06540660431121331,0.6748483258112096,1.0
Driver1,Overtaking,42.091,43.069,0.9162945959732348,0.0600999658950135,0.0,0.9995109110100191,0.7491909385113269,0.0996035985816262,0,0.0703866691240005,0.7106468299729604,1.0
Driver1,Overtaking,42.602,43.592,0.9485244696492334,0.06183410362912631,0.0,1.0,0.7491909385113269,0.03145662036821975,0,0.07188816850128864,0.7481506170198613,1.0
Driver1,Overtaking,43.121,44.114,0.9819028115341915,0.06222894291899047,0.0,1.0,0.8317152103559871,0.034901906133382885,0,0.0783868342646786,0.7880500333933678,1.0
Driver1,Overtaking,43.644,44.627,0.9981764035166683,0.007235520956188096,0.0,1.0,0.8317152103559871,0.029087502516219943,0,0.07549658857110438,0.8285585124231433,1.0
Driver1,Overtaking,44.165,45.141,1.0,-9.67477420139266e-17,0.0,0.9702848901868771,0.33333333333333337,0.0012077855716077488,0,0.06575818624143238,0.8657033027482772,1.0
Driver1,Overtaking,44.678,45.663,1.0,-1.234226290435939e-16,0.0,0.9353516919901304,0.33333333333333337,0.004428547095895079,0,0.05727780745269897,0.8978138455948975,1.0
Driver1,Overtaking,45.191,46.188,1.0,5.860933114212605e-17,0.0,0.9455328277428381,0.33333333333333337,0.006038927858038744,0,0.05781099890374721,0.9281229431242828,1.0
Driver1,Overtaking,45.716,46.702,1.0,-1.9701147959205794e-16,0.0,0.9565155070209509,0.33333333333333337,0.0254641458013967,0,0.059264186394565384,0.9590567112310128,1.0
Driver1,Overtaking,46.238,47.218,1.0,-1.352763366368093e-16,0.0,0.9419239778586903,0.7491909385113269,0.056138802434152466,0,0.04658188712183621,0.9876283057668301,1.0
Driver1,Overtaking,46.755,47.73,1.0,-1.5832523003117265e-16,0.0,0.9427554974910877,0.7491909385113269,0.023520849785540632,0,0.003585398873430722,0.9990228137919898,1.0
Driver1,Overtaking,47.268,48.242,1.0,-6.658048824850998e-17,0.0,0.9458581710278485,0.7491909385113269,0.021484647187253215,0,-6.658048824850998e-17,1.0,1.0
Driver1,Overtaking,47.781,48.754,1.0,-1.6121008082808723e-16,0.0,0.9475018771682637,0.41585760517799353,0.05460584382403493,0,-1.6121008082808723e-16,1.0,1.0
Driver1,Overtaking,48.292,49.271,1.0,-1.3353587140765373e-16,0.0,0.953244303319146,0.5,0.031092736253696907,0,-1.3353587140765373e-16,1.0,1.0
Driver1,Overtaking,48.806,49.784,1.0,4.598139218216879e-17,0.0,0.5395424884465054,0.5,0.03070562549356622,0,4.598139218216879e-17,1.0,1.0
Driver1,Overtaking,49.323,50.296,1.0,6.183296804702923e-17,0.0,0.11569224790533408,0.5,0.02311825459500472,1,-0.5262940677667505,0.8797555850923713,1.0
Driver1,Overtaking,49.836,50.805,1.0,-6.499332571024765e-17,0.0,0.42080322296853295,0.7491909385113269,0.06969542125392918,1,0.4760687427628681,0.8155607908234631,1.0
Driver1,Overtaking,50.347,51.318,1.0,-1.0316601142113702e-16,0.0,0.697421468946413,1.0,0.04625973583561729,0,0.13614361151254623,0.9659796273988018,0.5
Driver1,Overtaking,79.517,80.489,0.7381590002100398,-0.0015721944041795183,0.0,0.43325570790968887,1.0,0.012782397299515335,0,-7.172202105935524e-05,0.49600173979136397,0.45
Driver1,Overtaking,80.031,80.996,0.739771056500735,0.007265601357301587,0.0,0.5166498234143665,1.0,0.00644152304857465,0,0.010551239704935097,0.49899229936138007,0.95
Driver1,Overtaking,80.54,81.505,0.7449005311009093,0.01226371838795314,0.0,0.5590374056899924,1.0,0.09125749059320852,0,0.015834376178570583,0.505802787375547,1.0
Driver1,Overtaking,81.046,82.015,0.7528100339064422,0.01777636956818958,0.0,0.6125046257917549,0.9158576051779936,0.056192997940570755,0,0.021938001848898138,0.5157735935126775,1.0
Driver1,Overtaking,81.555,82.523,0.7635708284574069,0.02295739170610283,0.0,0.6688849962261351,0.5,0.002400086712810269,0,0.027871738446941238,0.5289003857387939,1.0
Driver1,Overtaking,82.065,83.029,0.7775377321691122,0.030511451331318985,0.0,0.7478760414744339,0.5,0.007649308620182407,0,0.03754906192325093,0.5460450716396189,1.0
Driver1,Overtaking,82.574,83.541,0.7950475590362169,0.03577599436070805,0.0,0.7857058884986462,0.5,0.04083244297858503,0,0.04221571146278403,0.5670736997819773,1.0
Driver1,Overtaking,83.079,84.057,0.8150268551024695,0.039782348318432595,0.0,0.8297759408054883,0.33333333333333337,0.03436769328440253,0,0.04728961014300349,0.5906647235992118,1.0
Driver1,Overtaking,83.592,84.566,0.8374786209379781,0.04549858294827062,0.0,0.8853679493901767,0.24919093851132687,0.021082051996717303,0,0.054121310193986444,0.6174184108463956,1.0
Driver1,Overtaking,84.107,85.077,0.8625453836228885,0.04958571128362104,0.0,0.92254759805458,0.24919093851132687,0.01705610009135814,0,0.058235291949471905,0.6470119983409861,1.0
Driver1,Overtaking,84.617,85.589,0.8893554775407327,0.051857510161371245,0.0,0.9294043151924185,0.0825242718446602,0.0007897059506666048,0,0.05974654909924559,0.6781866982837308,1.0
Driver1,Overtaking,85.127,86.113,0.9168527020133825,0.052352691343486864,0.0,0.9276052605626721,0.0825242718446602,0.0,0,0.06016325187130289,0.7098514898556569,1.0
Driver1,Overtaking,85.641,86.635,0.9444099378881988,0.052209857392565874,0.0,0.9303096522088095,0.0825242718446602,0.0059227946299995355,0,0.06011768291692082,0.7415494718825375,1.0
Driver1,Overtaking,86.165,87.151,0.9716851201728328,0.05175539263387031,0.0,0.9335474623321411,0.0825242718446602,0.001974264876666512,0,0.05961344806208341,0.7729898384123466,1.0
Driver1,Overtaking,86.687,87.664,0.9939455996639363,0.026235479051868082,0.0,0.9341384896143041,0.5825242718446603,0.04697976184946038,0,0.058530547216616484,0.8039881363809095,1.0
Driver1,Overtaking,87.203,88.184,0.9998477210670028,0.0003722908778105598,0.0,0.44888224272054167,0.5825242718446603,0.019107787120050793,1,0.07344720439059857,0.8903383770395705,1.0
Driver1,Overtaking,87.715,88.699,0.9982476670567407,-0.011576902470472696,0.0,0.3567627366721053,0.5825242718446603,0.0,1,-0.44369388132834425,0.7213511781151751,1.0
Driver1,Overtaking,88.235,89.224,0.9970744441443874,0.00853171165296048,0.0,0.6683290224371649,0.5825242718446603,0.0,0,-0.19247919913083905,0.5535500806447617,1.0
Driver1,Overtaking,88.752,89.746,0.9995094067872896,0.0018744595359745108,0.0,0.7386777705197194,0.5825242718446603,0.0,0,0.013969939756438184,0.5143591311165798,1.0
Driver1,Overtaking,89.275,90.271,1.0,-4.837551737971618e-17,0.0,0.7417826898234534,0.5825242718446603,0.057369814651368055,0,0.015807808133021857,0.5214681636266898,1.0
